prashant-Lenovo-IdeaPad-Y480 masscan # bin/masscan -p0-1024 129.170.212.20/22

Starting masscan 1.0.3 (http://bit.ly/14GZzcT) at 2017-05-17 21:41:20 GMT
 -- forced options: -sS -Pn -n --randomize-hosts -v --send-eth
 Initiating SYN Stealth Scan
 Discovered open port 636/tcp on 129.170.212.110                                
 Discovered open port 88/tcp on 129.170.213.204                                 
 Discovered open port 22/tcp on 129.170.212.158                                 
 Discovered open port 80/tcp on 129.170.212.114                                 
 Discovered open port 21/tcp on 129.170.212.55                                  
 Discovered open port 623/tcp on 129.170.212.250                                
 Discovered open port 443/tcp on 129.170.212.188                                
 Discovered open port 22/tcp on 129.170.212.239                                 
 Discovered open port 445/tcp on 129.170.214.59                                 
 Discovered open port 22/tcp on 129.170.212.188                                 
 Discovered open port 80/tcp on 129.170.213.219                                 
 Discovered open port 22/tcp on 129.170.213.246                                 
 Discovered open port 135/tcp on 129.170.212.110                                
 Discovered open port 443/tcp on 129.170.212.114                                
 Discovered open port 445/tcp on 129.170.212.203                                
 Discovered open port 22/tcp on 129.170.212.175                                 
 Discovered open port 22/tcp on 129.170.212.86                                  
 Discovered open port 443/tcp on 129.170.214.95                                 
 Discovered open port 111/tcp on 129.170.213.78                                 
 Discovered open port 445/tcp on 129.170.213.46                                 
 Discovered open port 23/tcp on 129.170.212.18                                  
 Discovered open port 111/tcp on 129.170.213.39                                 
 Discovered open port 22/tcp on 129.170.212.112                                 
 Discovered open port 111/tcp on 129.170.213.38                                 
 Discovered open port 111/tcp on 129.170.212.20                                 
 Discovered open port 22/tcp on 129.170.212.100                                 
 Discovered open port 80/tcp on 129.170.212.55                                  
 Discovered open port 80/tcp on 129.170.213.164                                 
 Discovered open port 22/tcp on 129.170.213.96                                  
 Discovered open port 143/tcp on 129.170.212.100                                
 Discovered open port 22/tcp on 129.170.213.32                                  
 Discovered open port 1021/tcp on 129.170.212.130                               
 Discovered open port 111/tcp on 129.170.213.37                                 
 Discovered open port 143/tcp on 129.170.212.112                                
 Discovered open port 497/tcp on 129.170.213.212                                
 Discovered open port 443/tcp on 129.170.213.164                                
 Discovered open port 111/tcp on 129.170.212.108                                
 Discovered open port 22/tcp on 129.170.212.203                                 
 Discovered open port 1022/tcp on 129.170.212.130                               
 Discovered open port 80/tcp on 129.170.213.109                                 
 Discovered open port 22/tcp on 129.170.212.20                                  
 Discovered open port 22/tcp on 129.170.212.114                                 
 Discovered open port 636/tcp on 129.170.212.109                                
 Discovered open port 80/tcp on 129.170.212.42                                  
 Discovered open port 443/tcp on 129.170.212.162                                
 Discovered open port 464/tcp on 129.170.212.110                                
 Discovered open port 88/tcp on 129.170.212.228                                 
 Discovered open port 23/tcp on 129.170.212.239                                 
 Discovered open port 443/tcp on 129.170.213.102                                
 Discovered open port 443/tcp on 129.170.214.217                                
 Discovered open port 22/tcp on 129.170.213.38                                  
 Discovered open port 465/tcp on 129.170.213.38                                 
 Discovered open port 21/tcp on 129.170.213.109                                 
 Discovered open port 80/tcp on 129.170.212.18                                  
 Discovered open port 22/tcp on 129.170.212.162                                 
 Discovered open port 445/tcp on 129.170.213.110                                
 Discovered open port 445/tcp on 129.170.212.228                                
 Discovered open port 22/tcp on 129.170.214.59                                  
 Discovered open port 445/tcp on 129.170.212.85                                 
 Discovered open port 993/tcp on 129.170.214.65                                 
 Discovered open port 497/tcp on 129.170.213.103                                
 Discovered open port 21/tcp on 129.170.213.244                                 
 Discovered open port 111/tcp on 129.170.212.95                                 
 Discovered open port 22/tcp on 129.170.212.108                                 
 Discovered open port 993/tcp on 129.170.214.84                                 
 Discovered open port 111/tcp on 129.170.214.107                                
 Discovered open port 80/tcp on 129.170.212.4                                   
 Discovered open port 22/tcp on 129.170.213.40                                  
 Discovered open port 465/tcp on 129.170.213.39                                 
 Discovered open port 22/tcp on 129.170.215.232                                 
 Discovered open port 25/tcp on 129.170.212.112                                 
 Discovered open port 111/tcp on 129.170.213.212                                
 Discovered open port 23/tcp on 129.170.215.34                                  
 Discovered open port 22/tcp on 129.170.212.94                                  
 Discovered open port 80/tcp on 129.170.213.103                                 
 Discovered open port 111/tcp on 129.170.213.104                                
 Discovered open port 111/tcp on 129.170.215.62                                 
 Discovered open port 860/tcp on 129.170.214.100                                
